Entity Name,Entity Type,License Number,License Status,Address,Registered Agent,Jurisdiction,Scraped Date
"001INVEST WORLD CURRENCY FUND LIMITEDCancelled","Investment Business","","Active","","","British Virgin Islands",2025-11-13T07:29:38.299Z
"0xPartners Global, SPC Ltd.Cancelled","Investment Business","","Active","","","British Virgin Islands",2025-11-13T07:29:38.299Z
"0xPartners Sino, SPC Ltd.Cancelled","Investment Business","","Active","","","British Virgin Islands",2025-11-13T07:29:38.299Z
"1/0 DEVELOPING MARKETS TECHNOLOGY FUND LTD.Cancelled","Investment Business","","Active","","","British Virgin Islands",2025-11-13T07:29:38.299Z
"100 Acre DeFi Opportunities Fund Ltd.","Investment Business","","Active","","","British Virgin Islands",2025-11-13T07:29:38.299Z
"10D Multi Strategy Fund Limited","Investment Business","","Active","","","British Virgin Islands",2025-11-13T07:29:38.299Z
"1127 Capital Offshore Fund, Ltd.Cancelled","Investment Business","","Active","","","British Virgin Islands",2025-11-13T07:29:38.299Z
"1127 Capital, Ltd.Cancelled","Investment Business","","Active","","","British Virgin Islands",2025-11-13T07:29:38.299Z
"1297 Management LtdCancelled","Investment Business","","Active","","","British Virgin Islands",2025-11-13T07:29:38.299Z
"1297 Property Fund Ltd.","Investment Business","","Active","","","British Virgin Islands",2025-11-13T07:29:38.299Z
"150 Capital Management LimitedCancelled","Investment Business","","Active","","","British Virgin Islands",2025-11-13T07:29:38.299Z
"1654 Special Opportunities Fund LtdCancelled","Investment Business","","Active","","","British Virgin Islands",2025-11-13T07:29:38.299Z
"1911 Capital Management (BVI) Ltd","Investment Business","","Active","","","British Virgin Islands",2025-11-13T07:29:38.299Z
"1kB Capital Limited","Investment Business","","Active","","","British Virgin Islands",2025-11-13T07:29:38.299Z
"1KB TECHNOLOGY (BVI) LIMITED","Investment Business","","Active","","","British Virgin Islands",2025-11-13T07:29:38.299Z
"Alvarez & Marsal (BVI) Limited","Insolvency Practitioners","","Active","","","British Virgin Islands",2025-11-13T07:29:38.299Z
"Alvarez & Marsal (BVI) Limited","Insolvency Practitioners","","Active","","","British Virgin Islands",2025-11-13T07:29:38.299Z
"Bae Bach Limited","Insolvency Practitioners","","Active","","","British Virgin Islands",2025-11-13T07:29:38.299Z
"Baker Tilly (BVI) Ltd.","Insolvency Practitioners","","Active","","","British Virgin Islands",2025-11-13T07:29:38.299Z
"BDO Limited","Insolvency Practitioners","","Active","","","British Virgin Islands",2025-11-13T07:29:38.299Z
"Begbies Traynor (BVI) Limited","Insolvency Practitioners","","Active","","","British Virgin Islands",2025-11-13T07:29:38.299Z
"Begbies Traynor (BVI) Ltd","Insolvency Practitioners","","Active","","","British Virgin Islands",2025-11-13T07:29:38.299Z
"CCP Financial Consultants Ltd.","Insolvency Practitioners","","Active","","","British Virgin Islands",2025-11-13T07:29:38.299Z
"Deloitte Ltd.","Insolvency Practitioners","","Active","","","British Virgin Islands",2025-11-13T07:29:38.299Z
"Ernst & Young Ltd.","Insolvency Practitioners","","Active","","","British Virgin Islands",2025-11-13T07:29:38.299Z
"FFP (BVI)  Limited","Insolvency Practitioners","","Active","","","British Virgin Islands",2025-11-13T07:29:38.299Z
"FTI Consulting (BVI) Limited","Insolvency Practitioners","","Active","","","British Virgin Islands",2025-11-13T07:29:38.299Z
"FTI Consulting (BVI) Limited","Insolvency Practitioners","","Active","","","British Virgin Islands",2025-11-13T07:29:38.299Z
"Grant Thornton (British Virgin Islands) Limited","Insolvency Practitioners","","Active","","","British Virgin Islands",2025-11-13T07:29:38.299Z
"Grant Thornton (British Virgin Islands) Limited","Insolvency Practitioners","","Active","","","British Virgin Islands",2025-11-13T07:29:38.299Z
