Date,Stock Code,Stock Name,Participant ID,Participant Name,Address,Shareholding,Percentage,Scraped At
2025/11/08,00700,"TENCENT HOLDINGS LIMITED -HKD TRADED SHARES",C00019,"THE HONGKONG AND SHANGHAI BANKING","HSBC WEALTH BUSINESS SERVICES 8/F TOWER 2 & 3 HSBC CENTRE 1 SHAM MONG ROAD KOWLOON",3221123909,35.22,2025-11-12T10:19:25.016Z
2025/11/08,00700,"TENCENT HOLDINGS LIMITED -HKD TRADED SHARES",A00003,"CHINA SECURITIES DEPOSITORY AND CLEARING","17 TAIPING QIAO STREET XICHENG DISTRICT BEIJING CHINA",544488952,5.95,2025-11-12T10:19:25.016Z
2025/11/08,00700,"TENCENT HOLDINGS LIMITED -HKD TRADED SHARES",C00010,"CITIBANK N.A.","9/F CITI TOWER ONE BAY EAST 83 HOI BUN ROAD KWUN TONG KOWLOON",531868125,5.81,2025-11-12T10:19:25.016Z
2025/11/08,00700,"TENCENT HOLDINGS LIMITED -HKD TRADED SHARES",A00004,"CHINA SECURITIES DEPOSITORY AND CLEARING","17 TAIPING QIAO STREET XICHENG DISTRICT BEIJING CHINA",466172346,5.09,2025-11-12T10:19:25.016Z
2025/11/08,00700,"TENCENT HOLDINGS LIMITED -HKD TRADED SHARES",C00039,"STANDARD CHARTERED BANK (HONG KONG) LTD","18/F STANDARD CHARTERED BANK TOWER MILLENNIUM CITY 388 KWUN TONG ROAD KWUN TONG KOWLOON",415217756,4.54,2025-11-12T10:19:25.016Z
2025/11/08,00700,"TENCENT HOLDINGS LIMITED -HKD TRADED SHARES",B01451,"GOLDMAN SACHS (ASIA) SECURITIES LTD","68TH FLOOR CHEUNG KONG CENTER 2 QUEEN'S ROAD CENTRAL HONG KONG",377051578,4.12,2025-11-12T10:19:25.016Z
2025/11/08,00700,"TENCENT HOLDINGS LIMITED -HKD TRADED SHARES",B01274,"MORGAN STANLEY HONG KONG SECURITIES LTD","46/F INTERNATIONAL COMMERCE CENTRE 1 AUSTIN ROAD WEST KOWLOON",343757498,3.75,2025-11-12T10:19:25.016Z
2025/11/08,00700,"TENCENT HOLDINGS LIMITED -HKD TRADED SHARES",B01161,"UBS SECURITIES HONG KONG LTD","47-52/F TWO INTERNATIONAL FINANCE CENTRE 8 FINANCE STREET CENTRAL HONG KONG",296175627,3.23,2025-11-12T10:19:25.016Z
2025/11/08,00700,"TENCENT HOLDINGS LIMITED -HKD TRADED SHARES",B01130,"BOCI SECURITIES LTD","22/F GRAND MILLENNIUM PLAZA 181 QUEEN'S ROAD CENTRAL HONG KONG",192490708,2.10,2025-11-12T10:19:25.016Z
2025/11/08,00700,"TENCENT HOLDINGS LIMITED -HKD TRADED SHARES",C00040,"INDUSTRIAL AND COMMERCIAL BANK OF CHINA","2/F ONE HARBOURFRONT 18-22 TAK FUNG ST HUNG HOM KOWLOON",95725423,1.04,2025-11-12T10:19:25.016Z
2025/11/08,00700,"TENCENT HOLDINGS LIMITED -HKD TRADED SHARES",C00093,"BNP PARIBAS","21/F PCCW TOWER TAIKOO PLACE 979 KING'S ROAD QUARRY BAY HONG KONG",94374356,1.03,2025-11-12T10:19:25.016Z
2025/11/08,00700,"TENCENT HOLDINGS LIMITED -HKD TRADED SHARES",C00033,"BANK OF CHINA (HONG KONG) LTD","23/F BANK OF CHINA CENTRE OLYMPIAN CITY 11 HOI FAI ROAD WEST KOWLOON",62363870,0.68,2025-11-12T10:19:25.016Z
2025/11/08,00700,"TENCENT HOLDINGS LIMITED -HKD TRADED SHARES",B01955,"FUTU SECURITIES INTERNATIONAL","34/F UNITED CENTRE 95 QUEENSWAY ADMIRALTY HONG KONG",58678912,0.64,2025-11-12T10:19:25.016Z
2025/11/08,00700,"TENCENT HOLDINGS LIMITED -HKD TRADED SHARES",B01590,"INTERACTIVE BROKERS HONG KONG LTD","SUITE 1512 TWO PACIFIC PLACE 88 QUEENSWAY HONG KONG",49221758,0.53,2025-11-12T10:19:25.016Z
2025/11/08,00700,"TENCENT HOLDINGS LIMITED -HKD TRADED SHARES",C00016,"DBS BANK LTD","7/F TWO HARBOUR SQUARE 180 WAI YIP STREET KWUN TONG KOWLOON",42930255,0.46,2025-11-12T10:19:25.016Z
2025/11/08,00700,"TENCENT HOLDINGS LIMITED -HKD TRADED SHARES",C00074,"DEUTSCHE BANK AG","58-61/F INTERNATIONAL COMMERCE CENTRE 1 AUSTIN ROAD WEST  KOWLOON",36250586,0.39,2025-11-12T10:19:25.016Z
2025/11/08,00700,"TENCENT HOLDINGS LIMITED -HKD TRADED SHARES",C00018,"HANG SENG BANK LTD","HANG SENG 113 113 ARGYLE STREET MONGKOK KOWLOON",19969807,0.21,2025-11-12T10:19:25.016Z
2025/11/08,00700,"TENCENT HOLDINGS LIMITED -HKD TRADED SHARES",B01565,"GUOTAI JUNAN SECURITIES (HONG KONG) LTD","27/F GRAND MILLENNIUM PLAZA 181 QUEEN'S ROAD CENTRAL HONG KONG",19624127,0.21,2025-11-12T10:19:25.016Z
2025/11/08,00700,"TENCENT HOLDINGS LIMITED -HKD TRADED SHARES",C00042,"CMB WING LUNG BANK LTD","45 DES VOEUX ROAD CENTRAL   HONG KONG",19534976,0.21,2025-11-12T10:19:25.016Z
2025/11/08,00700,"TENCENT HOLDINGS LIMITED -HKD TRADED SHARES",B01224,"MERRILL LYNCH FAR EAST LTD","C/O BANK OF AMERICA MERRILL LYNCH 38/F CHEUNG KONG CENTER 2 QUEEN'S ROAD CENTRAL CENTRAL HONG KONG",13535885,0.14,2025-11-12T10:19:25.016Z
2025/11/08,00700,"TENCENT HOLDINGS LIMITED -HKD TRADED SHARES",B01901,"CMB INTERNATIONAL SECURITIES LTD","45/F CHAMPION TOWER 3 GARDEN ROAD CENTRAL HONG KONG",12316831,0.13,2025-11-12T10:19:25.016Z
2025/11/08,00700,"TENCENT HOLDINGS LIMITED -HKD TRADED SHARES",C00015,"DBS BANK (HONG KONG) LTD","6/F TWO HARBOUR SQUARE 180 WAI YIP STREET KWUN TONG KOWLOON",7896218,0.08,2025-11-12T10:19:25.016Z
2025/11/08,00700,"TENCENT HOLDINGS LIMITED -HKD TRADED SHARES",C00011,"PUBLIC BANK (HONG KONG) LTD","PUBLIC BANK CENTRE 120 DES VOEUX ROAD CENTRAL HONG KONG",7582630,0.08,2025-11-12T10:19:25.016Z
2025/11/08,00700,"TENCENT HOLDINGS LIMITED -HKD TRADED SHARES",B01228,"CITIC SECURITIES BROKERAGE (HK) LTD","26/F CITIC TOWER 1 TIM MEI AVENUE CENTRAL HONG KONG",6974860,0.07,2025-11-12T10:19:25.016Z
2025/11/08,00700,"TENCENT HOLDINGS LIMITED -HKD TRADED SHARES",C00003,"THE BANK OF EAST ASIA LTD","35/F BEA TOWER MILLENNIUM CITY 5 418 KWUN TONG ROAD KWUN TONG KOWLOON",5910940,0.06,2025-11-12T10:19:25.016Z
2025/11/08,00700,"TENCENT HOLDINGS LIMITED -HKD TRADED SHARES",C00088,"CHINA MERCHANTS BANK CO LTD","28/F THREE EXCHANGE SQUARE 8 CONNAUGHT PLACE CENTRAL HONG KONG",5339114,0.05,2025-11-12T10:19:25.016Z
