Participant ID,Participant Name,Address,Shareholding,Percentage
"C00019","THE HONGKONG AND SHANGHAI BANKING","HSBC WEALTH BUSINESS SERVICES 8/F TOWER 2 & 3 HSBC CENTRE 1 SHAM MONG ROAD KOWLOON",3124566070,34.16
"C00010","CITIBANK N.A.","9/F CITI TOWER ONE BAY EAST 83 HOI BUN ROAD KWUN TONG KOWLOON",626533518,6.85
"A00003","CHINA SECURITIES DEPOSITORY AND CLEARING","17 TAIPING QIAO STREET XICHENG DISTRICT BEIJING CHINA",544089804,5.94
"A00004","CHINA SECURITIES DEPOSITORY AND CLEARING","17 TAIPING QIAO STREET XICHENG DISTRICT BEIJING CHINA",467138372,5.1
"C00039","STANDARD CHARTERED BANK (HONG KONG) LTD","18/F STANDARD CHARTERED BANK TOWER MILLENNIUM CITY 388 KWUN TONG ROAD KWUN TONG KOWLOON",414756901,4.53
"B01451","GOLDMAN SACHS (ASIA) SECURITIES LTD","68TH FLOOR CHEUNG KONG CENTER 2 QUEEN'S ROAD CENTRAL HONG KONG",378729371,4.14
"B01274","MORGAN STANLEY HONG KONG SECURITIES LTD","46/F INTERNATIONAL COMMERCE CENTRE 1 AUSTIN ROAD WEST KOWLOON",344090278,3.76
"B01161","UBS SECURITIES HONG KONG LTD","47-52/F TWO INTERNATIONAL FINANCE CENTRE 8 FINANCE STREET CENTRAL HONG KONG",296568693,3.24
"B01130","BOCI SECURITIES LTD","22/F GRAND MILLENNIUM PLAZA 181 QUEEN'S ROAD CENTRAL HONG KONG",192366021,2.1
"C00040","INDUSTRIAL AND COMMERCIAL BANK OF CHINA","2/F ONE HARBOURFRONT 18-22 TAK FUNG ST HUNG HOM KOWLOON",95720223,1.04
"C00093","BNP PARIBAS","21/F PCCW TOWER TAIKOO PLACE 979 KING'S ROAD QUARRY BAY HONG KONG",94006422,1.02
"C00033","BANK OF CHINA (HONG KONG) LTD","23/F BANK OF CHINA CENTRE OLYMPIAN CITY 11 HOI FAI ROAD WEST KOWLOON",62258393,0.68
"B01955","FUTU SECURITIES INTERNATIONAL","34/F UNITED CENTRE 95 QUEENSWAY ADMIRALTY HONG KONG",58407785,0.63
"B01590","INTERACTIVE BROKERS HONG KONG LTD","SUITE 1512 TWO PACIFIC PLACE 88 QUEENSWAY HONG KONG",49738958,0.54
"C00016","DBS BANK LTD","7/F TWO HARBOUR SQUARE 180 WAI YIP STREET KWUN TONG KOWLOON",42984582,0.47
"C00074","DEUTSCHE BANK AG","58-61/F INTERNATIONAL COMMERCE CENTRE 1 AUSTIN ROAD WEST KOWLOON",36265487,0.39
"C00018","HANG SENG BANK LTD","HANG SENG 113 113 ARGYLE STREET MONGKOK KOWLOON",19967197,0.21
